template,asset,slippage_percent,raw_return_percent,turnover_points,slippage_cost_points,adjusted_return_percent
bollinger_reversion,BTC,0.05,2.364,15125.94,7.56,2.3564
bollinger_reversion,BTC,0.1,2.364,15125.94,15.13,2.3489
bollinger_reversion,BTC,0.2,2.364,15125.94,30.25,2.3337
bollinger_reversion,ETH,0.05,-1.592,15221.69,7.61,-1.5996
bollinger_reversion,ETH,0.1,-1.592,15221.69,15.22,-1.6072
bollinger_reversion,ETH,0.2,-1.592,15221.69,30.44,-1.6224
bollinger_reversion,XRP,0.05,-0.266,15085.64,7.54,-0.2735
bollinger_reversion,XRP,0.1,-0.266,15085.64,15.09,-0.2811
bollinger_reversion,XRP,0.2,-0.266,15085.64,30.17,-0.2962
bollinger_reversion,BNB,0.05,0.083,15055.38,7.53,0.0755
bollinger_reversion,BNB,0.1,0.083,15055.38,15.06,0.0679
bollinger_reversion,BNB,0.2,0.083,15055.38,30.11,0.0529
bollinger_reversion,PAXG,0.05,7.685,15013.37,7.51,7.6775
bollinger_reversion,PAXG,0.1,7.685,15013.37,15.01,7.67
bollinger_reversion,PAXG,0.2,7.685,15013.37,30.03,7.655
dip_buy,BTC,0.05,4.654,9990.0,5.0,4.649
dip_buy,BTC,0.1,4.654,9990.0,9.99,4.644
dip_buy,BTC,0.2,4.654,9990.0,19.98,4.634
dip_buy,ETH,0.05,-3.037,9990.0,5.0,-3.042
dip_buy,ETH,0.1,-3.037,9990.0,9.99,-3.047
dip_buy,ETH,0.2,-3.037,9990.0,19.98,-3.057
dip_buy,XRP,0.05,-0.724,9990.0,5.0,-0.729
dip_buy,XRP,0.1,-0.724,9990.0,9.99,-0.734
dip_buy,XRP,0.2,-0.724,9990.0,19.98,-0.744
dip_buy,BNB,0.05,0.392,9990.0,5.0,0.387
dip_buy,BNB,0.1,0.392,9990.0,9.99,0.382
dip_buy,BNB,0.2,0.392,9990.0,19.98,0.372
dip_buy,PAXG,0.05,15.431,9990.0,5.0,15.426
dip_buy,PAXG,0.1,15.431,9990.0,9.99,15.421
dip_buy,PAXG,0.2,15.431,9990.0,19.98,15.411
kd_momentum,BTC,0.05,4.013,9990.0,5.0,4.008
kd_momentum,BTC,0.1,4.013,9990.0,9.99,4.003
kd_momentum,BTC,0.2,4.013,9990.0,19.98,3.993
kd_momentum,ETH,0.05,-3.233,9990.0,5.0,-3.238
kd_momentum,ETH,0.1,-3.233,9990.0,9.99,-3.243
kd_momentum,ETH,0.2,-3.233,9990.0,19.98,-3.253
kd_momentum,XRP,0.05,-1.045,9990.0,5.0,-1.05
kd_momentum,XRP,0.1,-1.045,9990.0,9.99,-1.055
kd_momentum,XRP,0.2,-1.045,9990.0,19.98,-1.065
kd_momentum,BNB,0.05,0.141,9990.0,5.0,0.136
kd_momentum,BNB,0.1,0.141,9990.0,9.99,0.131
kd_momentum,BNB,0.2,0.141,9990.0,19.98,0.121
kd_momentum,PAXG,0.05,15.185,9990.0,5.0,15.18
kd_momentum,PAXG,0.1,15.185,9990.0,9.99,15.175
kd_momentum,PAXG,0.2,15.185,9990.0,19.98,15.165
ma200_trend_entry,BTC,0.05,15.857,14985.0,7.49,15.8495
ma200_trend_entry,BTC,0.1,15.857,14985.0,14.98,15.842
ma200_trend_entry,BTC,0.2,15.857,14985.0,29.97,15.827
ma200_trend_entry,ETH,0.05,-5.87,14985.0,7.49,-5.8775
ma200_trend_entry,ETH,0.1,-5.87,14985.0,14.98,-5.885
ma200_trend_entry,ETH,0.2,-5.87,14985.0,29.97,-5.9
ma200_trend_entry,XRP,0.05,-0.529,14985.0,7.49,-0.5365
ma200_trend_entry,XRP,0.1,-0.529,14985.0,14.98,-0.544
ma200_trend_entry,XRP,0.2,-0.529,14985.0,29.97,-0.559
ma200_trend_entry,BNB,0.05,11.962,14985.0,7.49,11.9545
ma200_trend_entry,BNB,0.1,11.962,14985.0,14.98,11.947
ma200_trend_entry,BNB,0.2,11.962,14985.0,29.97,11.932
ma200_trend_entry,PAXG,0.05,22.383,14985.0,7.49,22.3755
ma200_trend_entry,PAXG,0.1,22.383,14985.0,14.98,22.368
ma200_trend_entry,PAXG,0.2,22.383,14985.0,29.97,22.353
ma_pullback,BTC,0.05,14.401,11988.0,5.99,14.395
ma_pullback,BTC,0.1,14.401,11988.0,11.99,14.389
ma_pullback,BTC,0.2,14.401,11988.0,23.98,14.377
ma_pullback,ETH,0.05,-4.367,11988.0,5.99,-4.373
ma_pullback,ETH,0.1,-4.367,11988.0,11.99,-4.379
ma_pullback,ETH,0.2,-4.367,11988.0,23.98,-4.391
ma_pullback,XRP,0.05,0.777,11988.0,5.99,0.771
ma_pullback,XRP,0.1,0.777,11988.0,11.99,0.765
ma_pullback,XRP,0.2,0.777,11988.0,23.98,0.753
ma_pullback,BNB,0.05,-0.291,11988.0,5.99,-0.297
ma_pullback,BNB,0.1,-0.291,11988.0,11.99,-0.303
ma_pullback,BNB,0.2,-0.291,11988.0,23.98,-0.315
ma_pullback,PAXG,0.05,17.577,11988.0,5.99,17.571
ma_pullback,PAXG,0.1,17.577,11988.0,11.99,17.565
ma_pullback,PAXG,0.2,17.577,11988.0,23.98,17.553
