config,asset,lower,upper,grids,order_amount,return_percent,trade_count,wall_seconds,error
baseline_50pct,BTC,27852.83,83558.51,20,5000,30.27,16,1.58,
baseline_50pct,ETH,1712.01,5136.02,20,5000,44.0,69,1.69,
baseline_50pct,XRP,0.78,2.33,20,5000,23.66,23,2.16,
baseline_50pct,BNB,309.37,928.11,20,5000,62.51,45,1.65,
baseline_50pct,PAXG,920.6,2761.8,20,5000,26.5,8,0.96,
skyfloor_narrow,BTC,11141.13,100270.21,50,2000,24.22,65,2.22,
skyfloor_narrow,ETH,684.8,6163.22,50,2000,103.54,580,2.08,
skyfloor_narrow,XRP,0.31,2.79,50,2000,74.94,216,3.24,
skyfloor_narrow,BNB,123.75,1113.73,50,2000,140.81,428,2.27,
skyfloor_narrow,PAXG,368.24,3314.16,50,2000,24.43,28,1.24,
skyfloor_mid,BTC,5570.57,167117.01,50,2000,41.77,60,1.55,
skyfloor_mid,ETH,342.4,10272.03,50,2000,76.21,234,1.66,
skyfloor_mid,XRP,0.16,4.65,50,2000,80.61,117,2.18,
skyfloor_mid,BNB,61.87,1856.22,50,2000,140.36,243,1.69,
skyfloor_mid,PAXG,184.12,5523.6,50,2000,15.12,10,1.25,
skyfloor_wide,BTC,5570.57,167117.01,100,1000,91.24,541,2.38,
skyfloor_wide,ETH,342.4,10272.03,100,1000,81.8,1026,2.18,
skyfloor_wide,XRP,0.16,4.65,100,1000,75.07,486,3.2,
skyfloor_wide,BNB,61.87,1856.22,100,1000,127.26,885,2.24,
skyfloor_wide,PAXG,184.12,5523.6,100,1000,9.7,35,1.76,
skyfloor_5x,BTC,2785.28,278528.35,100,1000,142.68,416,1.74,
skyfloor_5x,ETH,171.2,17120.05,100,1000,114.99,584,1.67,
skyfloor_5x,XRP,0.08,7.75,100,1000,154.19,932,2.08,
skyfloor_5x,BNB,30.94,3093.7,100,1000,138.73,485,1.68,
skyfloor_5x,PAXG,92.06,9206.0,100,1000,6.75,10,1.63,
